Product_ID,Product_Name,Category,Unit_Cost
P0001,Purpose Kit,Electronics,171.94
P0002,Brother Tool,Clothing,338.18
P0003,Ago Device,Electronics,420.58
P0004,Site Device,Beauty,420.04
P0005,Face Kit,Toys,200.48
P0006,Election Device,Groceries,306.22
P0007,Dog Tool,Groceries,202.29
P0008,Chair Widget,Electronics,208.28
P0009,Since Tool,Home & Kitchen,159.61
P0010,Blue Widget,Groceries,15.57
P0011,Require Kit,Toys,133.64
P0012,Sit Device,Toys,431.05
P0013,Wait Device,Electronics,402.42
P0014,Offer Device,Toys,392.86
P0015,Begin Widget,Clothing,236.5
P0016,Performance Widget,Beauty,437.67
P0017,Knowledge Widget,Beauty,279.45
P0018,Almost Device,Home & Kitchen,434.51
P0019,All Kit,Clothing,311.19
P0020,Better Device,Clothing,149.28
P0021,Discover Tool,Clothing,178.25
P0022,Early Tool,Groceries,131.7
P0023,Mouth Kit,Groceries,311.87
P0024,Play Kit,Clothing,179.46
P0025,Agreement Widget,Toys,142.23
P0026,Option Item,Clothing,375.22
P0027,Decide Item,Electronics,287.17
P0028,Sense Widget,Beauty,146.92
P0029,Rate Item,Beauty,168.85
P0030,Science Item,Beauty,158.09
P0031,Offer Item,Clothing,353.16
P0032,Kind Item,Groceries,150.5
P0033,Discussion Widget,Electronics,119.42
P0034,List Item,Beauty,228.03
P0035,Perform Item,Home & Kitchen,221.04
P0036,Fall Widget,Electronics,57.24
P0037,Table Item,Beauty,104.45
P0038,True Tool,Clothing,490.72
P0039,According Kit,Home & Kitchen,458.96
P0040,Song Device,Clothing,435.09
P0041,Sure Kit,Toys,131.23
P0042,Collection Widget,Groceries,136.34
P0043,Save Item,Electronics,128.46
P0044,Knowledge Item,Home & Kitchen,279.1
P0045,Grow Widget,Clothing,248.03
P0046,Fall Kit,Groceries,380.9
P0047,Clearly Item,Electronics,342.94
P0048,Dinner Widget,Clothing,326.25
P0049,Source Item,Toys,189.67
P0050,Great Item,Clothing,109.45
P0051,Blue Widget,Groceries,7.92
P0052,Best Item,Toys,17.32
P0053,Husband Widget,Electronics,467.48
P0054,Bill Device,Toys,364.07
P0055,Her Widget,Clothing,473.29
P0056,Throw Item,Home & Kitchen,284.27
P0057,Guy Device,Beauty,439.05
P0058,Pm Kit,Home & Kitchen,41.53
P0059,Everything Item,Groceries,135.38
P0060,Surface Widget,Electronics,288.21
P0061,Animal Device,Electronics,29.35
P0062,Show Item,Beauty,140.16
P0063,Machine Device,Beauty,224.62
P0064,Not Device,Home & Kitchen,27.18
P0065,Capital Item,Clothing,116.72
P0066,Win Kit,Clothing,169.71
P0067,Human Device,Home & Kitchen,216.39
P0068,Bar Tool,Toys,249.62
P0069,Old Kit,Home & Kitchen,344.98
P0070,Finally Device,Electronics,169.39
P0071,Themselves Tool,Beauty,90.26
P0072,Production Item,Toys,67.79
P0073,Present Kit,Beauty,456.14
P0074,Value Tool,Clothing,223.94
P0075,Training Device,Beauty,351.38
P0076,High Widget,Groceries,495.31
P0077,Participant Item,Home & Kitchen,400.88
P0078,Dark Tool,Beauty,451.34
P0079,Sea Device,Groceries,93.71
P0080,Available Device,Toys,212.36
P0081,Answer Tool,Toys,85.6
P0082,Recently Item,Beauty,16.74
P0083,Drive Item,Toys,35.36
P0084,Spring Kit,Groceries,211.9
P0085,Figure Tool,Toys,137.94
P0086,Base Device,Electronics,363.73
P0087,Top Kit,Beauty,97.6
P0088,Early Widget,Beauty,233.14
P0089,Trial Device,Groceries,274.97
P0090,Blood Widget,Beauty,426.44
P0091,Husband Device,Beauty,491.0
P0092,Fall Item,Clothing,357.49
P0093,Long Tool,Electronics,427.98
P0094,Prove Widget,Groceries,367.39
P0095,They Device,Home & Kitchen,48.11
P0096,His Kit,Electronics,69.64
P0097,Commercial Kit,Beauty,297.54
P0098,Hospital Kit,Groceries,233.35
P0099,Hear Widget,Electronics,255.47
P0100,Determine Tool,Home & Kitchen,188.07
P0101,Religious Widget,Toys,169.97
P0102,Example Tool,Electronics,147.34
P0103,Science Tool,Home & Kitchen,172.51
P0104,Write Widget,Clothing,59.61
P0105,Result Item,Electronics,464.53
P0106,Raise Tool,Groceries,382.3
P0107,Away Widget,Toys,249.84
P0108,Politics Kit,Beauty,405.93
P0109,Prove Item,Electronics,20.13
P0110,Congress Widget,Clothing,486.79
P0111,None Tool,Beauty,487.53
P0112,Shoulder Widget,Toys,141.73
P0113,Election Kit,Clothing,244.61
P0114,Common Item,Clothing,480.31
P0115,Maintain Device,Electronics,217.01
P0116,Hundred Widget,Groceries,309.31
P0117,Expect Kit,Electronics,465.53
P0118,Wish Device,Groceries,291.3
P0119,Push Tool,Home & Kitchen,435.28
P0120,Rise Tool,Clothing,33.59
P0121,Onto Tool,Beauty,165.22
P0122,Discuss Device,Toys,386.15
P0123,Reveal Item,Toys,284.14
P0124,Garden Device,Home & Kitchen,161.41
P0125,Threat Kit,Clothing,68.84
P0126,Special Tool,Groceries,69.55
P0127,Stand Kit,Home & Kitchen,259.33
P0128,Arrive Item,Electronics,403.91
P0129,Drop Widget,Home & Kitchen,220.02
P0130,Term Device,Clothing,291.82
P0131,Almost Kit,Home & Kitchen,332.2
P0132,Support Item,Clothing,262.09
P0133,Four Device,Clothing,119.18
P0134,Institution Device,Groceries,28.22
P0135,Executive Widget,Beauty,87.16
P0136,Attorney Device,Home & Kitchen,66.7
P0137,Development Kit,Home & Kitchen,104.91
P0138,White Widget,Toys,224.02
P0139,Yes Item,Beauty,48.86
