Order_ID,Customer_ID,Product_ID,Store_ID,Date,Quantity,Sales_Amount
1,80,21,3,2024-08-20,1,322.06
2,141,34,2,2025-06-05,5,2897.57
3,77,13,6,2025-04-08,1,319.98
4,56,8,4,2024-08-10,7,1265.04
5,43,18,2,2025-05-15,7,3230.43
6,3,3,8,2024-07-25,10,5286.16
7,198,6,4,2024-12-30,3,320.1
8,176,40,6,2024-09-14,1,222.11
9,166,10,2,2025-06-15,3,595.67
10,82,36,6,2025-03-24,8,1429.39
11,6,25,6,2024-10-20,3,1751.09
12,11,32,8,2024-08-18,9,1500.78
13,179,32,4,2025-04-23,10,1608.33
14,90,21,8,2024-09-19,5,1666.95
15,154,36,3,2024-07-26,2,336.62
16,116,19,5,2024-10-15,9,2349.69
17,1,33,7,2025-02-04,3,1193.99
18,159,24,4,2025-01-16,6,4040.33
19,169,35,7,2024-12-14,4,2173.88
20,128,36,3,2024-08-15,10,1555.87
21,105,21,2,2025-03-19,2,603.29
22,18,3,3,2025-03-27,3,1978.08
23,52,7,8,2025-04-07,4,1203.5
24,147,25,8,2025-07-20,9,5906.74
25,152,17,1,2025-03-19,6,2885.76
26,184,5,1,2025-07-12,4,857.65
27,21,30,1,2025-01-26,6,1861.91
28,107,24,1,2025-04-05,10,5850.8
29,11,5,5,2025-01-28,2,465.19
30,133,7,2,2024-07-29,4,1386.38
31,49,13,4,2024-07-25,10,2988.78
32,46,36,7,2025-02-14,2,360.74
33,148,23,8,2025-02-22,7,1665.34
34,43,12,7,2024-12-29,9,2111.3
35,41,35,8,2024-07-27,6,3637.7
36,141,21,6,2024-07-29,7,2266.97
37,111,21,4,2025-02-13,10,3037.12
38,97,36,5,2025-04-29,6,1142.36
39,115,26,1,2024-11-06,1,99.88
40,153,2,3,2025-02-16,5,1456.07
41,57,14,6,2024-11-11,1,505.54
42,177,18,3,2024-07-29,2,727.02
43,92,10,3,2025-02-03,5,955.76
44,150,16,4,2025-06-03,5,2240.13
45,24,37,7,2025-04-20,10,5430.23
46,188,5,6,2025-04-10,8,1472.11
47,177,37,2,2025-01-06,10,5022.17
48,10,37,7,2025-06-01,2,1045.25
49,198,22,6,2025-07-22,7,3118.53
50,31,15,1,2025-07-11,7,896.57
51,135,3,6,2024-09-30,9,5428.87
52,84,33,4,2024-09-02,3,920.41
53,188,26,8,2025-07-14,10,889.71
54,24,15,7,2024-08-29,5,807.64
55,38,9,6,2025-02-11,2,891.5
56,191,4,7,2024-09-18,5,665.85
57,129,28,3,2024-10-24,3,47.65
58,51,32,7,2024-10-05,10,1613.52
59,158,34,4,2025-03-20,4,2024.22
60,199,28,6,2025-02-12,10,139.59
61,172,27,7,2024-10-29,6,67.37
62,83,23,1,2025-06-04,5,955.88
63,90,40,8,2024-12-07,10,2289.09
64,12,15,4,2024-11-03,6,796.4
65,187,6,2,2025-05-27,1,98.27
66,159,10,5,2024-12-24,1,189.69
67,29,20,8,2024-08-22,8,644.43
68,54,35,4,2024-12-14,4,2188.72
69,193,17,8,2024-12-27,10,5634.0
70,37,2,7,2025-01-17,10,3862.39
71,135,3,5,2025-02-27,3,1534.05
72,52,40,5,2024-10-25,1,254.14
73,3,5,7,2025-04-19,5,1074.34
74,169,24,2,2024-10-18,1,590.26
75,167,25,4,2024-11-16,7,4436.96
76,182,7,6,2025-04-14,8,3055.91
77,137,6,3,2025-06-09,4,426.9
78,118,36,1,2025-06-17,1,153.75
79,136,20,6,2024-08-23,8,730.58
80,41,2,6,2025-04-02,6,1968.39
81,78,16,5,2025-06-21,1,424.72
82,100,2,5,2025-04-01,4,1226.19
83,101,9,2,2025-05-13,7,3163.63
84,174,40,4,2024-08-04,7,1654.67
85,40,28,5,2024-08-28,10,151.38
86,139,9,4,2024-12-27,3,1380.85
87,176,13,3,2024-12-17,5,1522.38
88,135,9,7,2024-12-16,3,1412.02
89,145,11,6,2025-02-22,2,795.14
90,185,8,3,2025-01-23,6,1265.95
91,38,2,6,2024-08-13,7,2744.46
92,78,29,5,2025-03-27,3,902.12
93,28,9,3,2024-07-26,1,485.35
94,157,40,5,2025-04-21,10,2622.06
95,60,39,4,2024-09-27,4,1840.62
96,92,6,8,2024-08-24,3,320.34
97,155,31,6,2025-02-02,3,193.26
98,126,31,3,2025-06-16,3,157.91
99,9,27,1,2025-01-07,5,67.05
100,57,13,4,2025-03-30,2,518.37
101,113,40,8,2025-05-23,6,1715.39
102,64,28,7,2024-11-28,1,16.51
103,98,21,7,2025-02-27,10,3399.76
104,147,39,1,2025-06-21,9,3444.94
105,117,3,4,2024-08-29,9,5384.58
106,189,3,7,2025-07-05,9,5756.82
107,13,13,5,2025-02-13,8,2230.02
108,78,19,8,2025-07-14,3,797.14
109,157,4,3,2024-08-08,8,1345.24
110,116,6,2,2024-10-20,3,347.57
111,179,35,3,2024-10-13,7,3675.88
112,116,2,3,2025-07-08,8,2823.07
113,183,13,8,2025-06-25,2,531.3
114,178,11,2,2025-04-17,2,688.59
115,116,24,2,2025-07-02,9,6036.53
116,187,33,3,2025-02-28,7,2530.92
117,12,11,6,2025-01-23,10,4353.1
118,39,11,3,2024-11-05,3,1269.09
119,14,27,5,2024-08-10,5,63.06
120,115,19,3,2025-07-16,2,611.17
121,52,1,5,2024-08-20,1,407.33
122,128,35,1,2025-04-14,10,6030.0
123,61,14,8,2025-07-17,8,3629.27
124,21,39,1,2024-11-08,4,1944.92
125,72,40,4,2025-07-07,1,231.99
126,15,23,1,2025-02-18,3,708.02
127,171,37,5,2025-02-26,6,3260.36
128,13,7,7,2025-04-04,3,922.45
129,73,40,3,2024-08-04,8,2212.92
130,93,3,2,2024-09-30,5,2795.78
131,98,5,7,2025-07-18,9,1594.95
132,121,9,2,2025-06-18,5,2127.43
133,106,34,4,2024-11-22,4,2411.91
134,28,37,2,2024-07-29,8,4114.64
135,155,19,7,2024-10-11,10,3013.37
136,67,34,6,2025-03-07,3,1810.14
137,128,34,8,2024-09-16,8,5104.93
138,157,15,5,2025-05-11,4,502.72
139,7,30,2,2025-06-06,4,1331.91
140,107,27,1,2025-04-25,6,67.4
141,164,14,1,2025-06-06,4,1975.34
142,66,5,5,2024-12-24,5,1025.14
143,83,1,2,2025-07-18,6,2354.65
144,186,37,1,2024-08-21,3,1307.57
145,87,31,8,2024-11-16,1,60.73
146,124,10,8,2024-09-24,9,2012.25
147,119,27,1,2025-02-27,9,99.46
148,186,21,1,2024-10-24,4,1226.56
149,85,23,2,2025-02-28,3,595.38
150,8,22,7,2025-06-12,9,4548.8
151,147,39,7,2025-06-17,3,1343.44
152,193,20,6,2024-12-21,1,87.78
153,23,32,4,2025-04-11,6,1052.17
154,78,14,5,2025-07-06,3,1232.67
155,10,13,2,2025-02-17,8,2306.49
156,124,33,3,2024-11-28,4,1354.11
157,124,34,5,2024-12-19,6,3113.44
158,26,34,3,2025-05-12,4,2492.63
159,118,25,2,2025-05-06,1,595.42
160,12,39,2,2024-09-15,6,2583.82
161,12,7,5,2025-05-25,1,351.44
162,80,14,6,2025-04-16,4,1689.68
163,71,35,6,2025-04-30,8,4543.03
164,70,10,3,2024-08-22,5,878.3
165,160,36,2,2025-02-02,4,675.57
166,141,21,5,2025-05-08,3,1021.07
167,73,37,4,2024-12-04,3,1253.04
168,157,22,8,2024-08-12,1,405.2
169,121,4,2,2024-08-29,7,921.9
170,110,26,3,2025-01-08,10,974.26
171,162,29,6,2024-10-21,5,1313.2
172,51,35,2,2025-06-13,8,4405.81
173,24,30,2,2024-08-21,8,2296.71
174,165,30,8,2024-12-02,4,1387.4
175,37,40,5,2025-03-15,6,1490.25
176,180,22,6,2025-05-17,8,3643.93
177,17,31,2,2025-03-18,6,346.45
178,44,19,6,2025-03-11,10,2784.62
179,131,7,7,2024-12-24,2,649.72
180,167,5,5,2025-05-19,9,1819.35
181,152,27,4,2024-11-26,10,108.49
182,41,31,7,2024-08-03,2,110.55
183,178,38,7,2025-03-26,7,2165.17
184,88,35,4,2024-11-06,3,1699.4
185,20,37,8,2025-05-23,2,989.6
186,119,21,2,2025-01-13,8,2157.32
187,104,5,2,2025-01-29,10,2216.9
188,98,21,8,2024-10-19,1,261.77
189,36,38,1,2024-12-08,3,954.13
190,116,35,5,2025-02-22,7,3910.61
191,115,13,4,2025-07-23,6,1620.29
192,174,20,7,2024-12-15,6,651.98
193,150,1,7,2025-01-06,3,1371.99
194,16,24,1,2024-10-03,1,669.96
195,92,8,5,2025-04-12,1,175.47
196,180,38,7,2025-03-07,6,1936.74
197,104,25,7,2025-04-05,9,5184.14
198,45,31,3,2024-12-17,4,236.46
199,93,27,3,2024-08-25,5,67.9
200,172,9,3,2025-05-18,1,389.91
201,5,10,8,2025-03-20,7,1599.01
202,35,6,3,2024-11-14,7,829.7
203,179,39,7,2025-05-28,10,3922.06
204,131,28,8,2024-10-26,7,106.86
205,48,28,1,2025-04-25,10,159.68
